631,590,685,631
629,589,684,628
627,588,684,629
628,588,683,628
628,588,683,628
628,588,683,628
626,587,682,628
633,592,685,631
628,588,682,628
627,588,683,629
627,589,682,628
628,589,681,629
626,588,682,628
623,588,683,627
628,589,684,629
629,589,683,628
628,588,681,629
627,587,682,628
629,588,683,628
627,588,681,628
631,591,687,634
628,589,684,629
628,588,683,628
627,589,682,629
628,587,682,628
628,589,684,628
628,588,682,628
631,589,684,630
628,587,683,629
628,588,682,628
628,587,681,629
628,588,680,628
627,588,682,628
627,587,680,629
627,589,684,629
629,589,684,628
630,587,683,629
627,588,682,628
628,588,681,628
627,588,683,628
628,588,683,627
629,591,683,628
629,588,684,628
629,588,682,629
629,587,681,628
628,587,682,628
627,586,683,627
625,585,679,625
629,588,683,628
628,588,683,628
627,587,683,627
628,588,681,629
627,587,681,628
627,588,682,627
631,591,686,632
629,589,683,629
627,588,682,629
628,587,680,628
629,588,682,629
628,590,682,629
626,588,684,628
624,585,677,628
629,588,683,629
628,587,681,628
627,588,682,629
628,589,681,629
628,588,680,628
628,589,683,628
629,588,684,629
628,588,683,629
628,586,683,628
628,588,683,628
629,588,681,629
628,589,683,628
628,590,682,629
628,588,683,629
628,589,682,629
629,589,684,629
629,588,682,628
628,588,683,628
628,589,682,628
618,579,671,619
631,590,686,630
628,589,683,629
628,589,685,629
628,588,684,628
628,589,682,629
628,588,683,628
627,586,682,628
629,586,683,630
628,586,682,628
628,590,683,628
627,588,682,628
627,587,681,628
627,588,682,628
631,588,686,632
628,588,681,629
627,588,683,629
629,589,682,627
628,588,683,627
626,588,682,628
627,587,681,627
630,590,684,630
628,587,679,628
628,587,678,629
627,586,681,627
627,587,679,627
626,587,681,627
627,588,680,627
626,587,682,627
626,587,682,626
625,586,680,626
625,585,679,625
625,585,679,625
624,585,678,626
616,577,669,616
628,584,681,629
625,584,678,625
624,585,676,625
625,584,678,625
624,583,678,624
624,585,678,624
624,583,678,625
626,586,683,626
625,582,674,625
625,585,679,625
624,584,679,623
624,584,679,624
624,583,679,622
626,587,684,626
624,584,676,624
624,583,678,623
622,582,675,622
622,584,678,622
624,583,677,622
624,583,679,623
625,585,680,624
624,582,678,623
624,583,677,623
623,583,677,623
623,585,678,623
624,586,679,624
626,584,680,625
625,586,680,626
627,586,681,626
627,586,681,627
627,587,681,626
627,587,680,627
628,586,681,627
615,577,671,615
631,591,687,626
628,589,683,628
626,588,681,627
627,587,683,627
627,588,681,626
627,588,681,627
628,589,681,627
629,589,682,628
627,587,682,627
627,588,681,628
627,588,681,627
628,587,680,627
626,588,682,628
632,594,686,632
629,587,683,628
628,587,682,628
626,587,684,628
628,588,681,627
628,587,680,627
628,588,682,627
622,583,672,622
629,587,682,628
627,586,681,626
626,586,681,626
626,586,682,626
626,586,681,626
626,584,680,624
625,587,680,625
626,586,680,625
626,585,679,625
625,584,679,624
624,585,680,624
624,585,678,624
618,578,668,616
625,586,680,624
625,586,680,624
624,584,679,623
625,584,678,623
625,584,678,623
624,584,678,624
624,584,678,622
626,586,677,625
623,584,678,623
623,584,677,622
624,582,677,622
623,583,677,622
624,584,677,622
616,576,668,614
