Designator,Manufacturer,Part Number,CPN,FabLevel,DNI,Quantity,Ref-X(Mil),Ref-Y(Mil),Rotation,Layer
H3,,,H00083,Intrinsic,,1,6000,2000,180,Bottom
H4,,,H00083,Intrinsic,,1,6000,2000,0,Top
H5,TE Connectivity,1513504-1,,,,1,3275,3870,270,Top
IR0,Sharp Microelectronics,GP1UX311QS,,,,1,3333,5611,292.5,Bottom
IR1,Sharp Microelectronics,GP1UX311QS,,,,1,2390,4670,337.5,Bottom
IR2,Sharp Microelectronics,GP1UX311QS,,,,1,2389,3333,22.5,Bottom
IR3,Sharp Microelectronics,GP1UX311QS,,,,1,3333,2389,67.5,Bottom
IR4,Sharp Microelectronics,GP1UX311QS,,,,1,4667,2389,112.5,Bottom
IR5,Sharp Microelectronics,GP1UX311QS,,,,1,5611,3333,157.5,Bottom
IR6,Sharp Microelectronics,GP1UX311QS,,,,1,5611,4667,202.5,Bottom
IR7,Sharp Microelectronics,GP1UX311QS,,,,1,4667,5611,247.5,Bottom
J1,Samtec,SHF-105-01-L-D-SM,,,,1,5311,3408,245,Top
J2,,,,,DNI,1,2917,2799,0,Top
J3,Molex,51387-0578,,,,1,3685,2335,79.1,Top
J4,Samtec,SHF-113-01-L-D-SM-LC,,,,1,4000,5270,270,Bottom
J5,,,,,DNI,1,5083,2799,180,Top
J6,,,,,DNI,1,4885,5465,270,Top
J7,Amphenol,101-00303-68,,,,1,2475,4270,0,Top
J8,,,,,DNI,1,2917,5201,0,Top
J9,,,,,DNI,1,5083,5201,0,Top
J10,Preci-Dip,802-10-012-10-002101,,,,1,5500,4000,90,Top
J11,Molex,530140210,,,,1,3418,5206,270,Bottom
L1,TDK,MMZ2012R102A,,,,1,3470,2725,90,Bottom
L2,Johanson Technology,L-07C8N2JV6T,,,,1,2730,3825,270,Bottom
L3,Johanson Technology,L-07C3N9SV6T,,,,1,2790,3805,0,Bottom
L4,Johanson Technology,L-07C2N7SV6T,,,,1,2765,3865,90,Bottom
L5,TDK,MMZ2012R102A,,,,1,3565,4460,90,Bottom
L6,TDK,MMZ2012R102A,,,,1,2580,3565,180,Bottom
Q1,Diodes,DMG3420U-7,,,,1,3977,4001,180,Bottom
Q2,Diodes,DMG3420U-7,,,,1,2975,4630,270,Bottom
R1,Panasonic,ERJ-3GEYJ473V,,,,1,2515,4300,90,Bottom
R2,Panasonic,ERJ-3GEYJ473V,,,,1,2335,4295,90,Bottom
R3,Vishay,SR03-1002,,,,1,5100,4460,180,Bottom
R4,Vishay,SR03-1002,,,,1,4680,3905,180,Bottom
R5,Panasonic,ERJ-3GEYJ-222V,,,,1,4455,2585,180,Bottom
R6,Vishay,SR03-1002,,,,1,4785,5105,270,Bottom
R7,Vishay,SR03-1002,,,,1,5383,3709,90,Bottom
R8,Vishay,SR03-1002,,,,1,5428,3709,90,Bottom
R9,Vishay,SR03-1002,,,,1,5473,3709,90,Bottom
R10,Vishay,SR03-1002,,,,1,5518,3709,90,Bottom
R11,Yageo,RC0603FR-075K1L,,,,1,5565,3710,90,Bottom
R12,Bourns,CR0603-JW-472GLF,,,,1,4355,2530,180,Bottom
R13,Vishay,SR03-1001,,,,1,4170,2285,0,Bottom
R14,Stackpole,RMCF 1/16S 0 R,,,,1,3625,2535,90,Bottom
R15,Vishay,SR03-1002,,,,1,4355,2634,0,Bottom
R16,Panasonic,ERJ-3GEYJ-222V,,,,1,3750,2500,90,Bottom
R17,Panasonic,ERJ-3GEYJ-222V,,,,1,3700,2500,90,Bottom
R18,Bourns,CR0603-JW-472GLF,,,,1,4356,2684,0,Bottom
R19,Bourns,CR0603-JW-472GLF,,,,1,4450,2771,180,Bottom
R20,Panasonic,ERJ-3GEYJ681V,,,,1,3855,5870,180,Top
R21,Panasonic,ERJ-3GEYJ681V,,,,1,2630,5205,270,Top
R22,Panasonic,ERJ-3GEYJ681V,,,,1,2245,3915,0,Top
R23,Panasonic,ERJ-3GEYJ681V,,,,1,2990,2580,0,Top
R24,Panasonic,ERJ-3GEYJ681V,,,,1,4135,2130,0,Top
R25,Panasonic,ERJ-3GEYJ681V,,,,1,5320,2830,135,Top
R26,Panasonic,ERJ-3GEYJ681V,,,,1,5865,4135,135,Top
R27,Panasonic,ERJ-3GEYJ681V,,,,1,5245,5175,270,Top
R28,Panasonic,ERJ-3GEYJ470V,,,,1,3935,3855,180,Bottom
R29,Panasonic,ERJ-3GEYJ470V,,,,1,4065,4145,0,Bottom
R30,Panasonic,ERJ-3GEYJ470V,,,,1,4065,3855,180,Bottom
R31,Panasonic,ERJ-3GEYJ470V,,,,1,3935,4145,0,Bottom
R32,Vishay,SR03-1001,,,,1,3895,4050,180,Bottom
R33,Vishay,SR03-1002,,,,1,4082,4001,90,Bottom
R34,Vishay,SR03-1002,,,,1,3355,3555,180,Bottom
